dataset,model,model_kind,attack_id,attack,c_fairness,p_value,significant_p_0_05,p_value_bh_all,significant_bh_all,included_in_table
ml-1m,mf-under-gender,fair,cfair_influencer_push_random,C-Fair Influencer,0.434419136314232,0.0984311530322007,False,0.42468145335339247,False,True
ml-1m,mf-under-gender,fair,cfair_sampling_push_random,Sampling,0.583508653067134,0.0490776825516261,True,0.3127499378289899,False,True
ml-1m,mf-under-gender,fair,cfair_influencer_top1_push_random,Top-1,0.672535066439555,0.0157579992779079,True,0.19932958943503787,False,True
ml-1m,mf-under-gender,fair,cfair_influencer_top5_push_random,Top-5,0.4279304962614542,0.1345305052983185,False,0.49684561615856265,False,True
ml-1m,mf-under-gender,fair,cfair_influencer_top10_push_random,Top-10,0.7708153531028792,1.275315623892114e-05,True,0.0010361939444123425,True,True
ml-1m,mf-value-gender,fair,cfair_influencer_push_random,C-Fair Influencer,0.8005449548230466,0.1008805543968672,False,0.42468145335339247,False,True
ml-1m,mf-value-gender,fair,cfair_sampling_push_random,Sampling,0.7578983428934133,0.0467411373635425,True,0.3061285748794156,False,True
ml-1m,mf-value-gender,fair,cfair_influencer_top1_push_random,Top-1,0.8041540110766436,0.181638603185307,False,0.5787504513257331,False,True
ml-1m,mf-value-gender,fair,cfair_influencer_top5_push_random,Top-5,0.7764645970792063,0.1600166055747378,False,0.5417228834561435,False,True
ml-1m,mf-value-gender,fair,cfair_influencer_top10_push_random,Top-10,0.7773917820541497,0.0194751719978258,True,0.21825623790666845,False,True
ml-1m,neumf,base,cfair_influencer_push_random,C-Fair Influencer,0.8659441040184437,0.6491550681498367,False,0.8832634150390458,False,False
ml-1m,neumf,base,cfair_sampling_push_random,Sampling,0.9023120386676574,0.8042218389862814,False,0.9627240130839279,False,False
ml-1m,neumf,base,cfair_influencer_top1_push_random,Top-1,0.8758573174378838,0.6410579484127965,False,0.8790879039415986,False,False
ml-1m,neumf,base,cfair_influencer_top5_push_random,Top-5,0.8714483771979314,0.4857362970200377,False,0.8014811799214844,False,False
ml-1m,neumf,base,cfair_influencer_top10_push_random,Top-10,0.8835919353722301,0.8215012907490387,False,0.9627240130839279,False,False
ml-1m,nmf,base,cfair_influencer_push_random,C-Fair Influencer,0.8855840656396471,0.8772756620876039,False,0.9627240130839279,False,False
ml-1m,nmf,base,cfair_sampling_push_random,Sampling,0.8841809350523665,0.9741441263392324,False,0.9893651283132829,False,False
ml-1m,nmf,base,cfair_influencer_top1_push_random,Top-1,0.8834348411186568,0.825746687094695,False,0.9627240130839279,False,False
ml-1m,nmf,base,cfair_influencer_top5_push_random,Top-5,0.8849465058503435,0.95122104667924,False,0.9797737512884508,False,False
ml-1m,nmf,base,cfair_influencer_top10_push_random,Top-10,0.8805707756987242,0.7406579544360585,False,0.9329993612082133,False,False
ml-1m,slim-i,base,cfair_influencer_push_random,C-Fair Influencer,0.8971841127310268,0.9664898389343866,False,0.987396994283473,False,False
ml-1m,slim-i,base,cfair_sampling_push_random,Sampling,0.8950717237323133,0.7008986971896235,False,0.9148276168137657,False,False
ml-1m,slim-i,base,cfair_influencer_top1_push_random,Top-1,0.8922536053475798,0.9335324901925643,False,0.9797737512884508,False,False
ml-1m,slim-i,base,cfair_influencer_top5_push_random,Top-5,0.8953570084390262,0.8531990539505132,False,0.9627240130839279,False,False
ml-1m,slim-i,base,cfair_influencer_top10_push_random,Top-10,0.8939300210076274,0.4709526319888685,False,0.8014811799214844,False,False
ml-1m,slim-u,base,cfair_influencer_push_random,C-Fair Influencer,0.8702484162953715,0.5866863678637345,False,0.8436861484766094,False,False
ml-1m,slim-u,base,cfair_sampling_push_random,Sampling,0.877056696069683,0.455923608286367,False,0.8014811799214844,False,False
ml-1m,slim-u,base,cfair_influencer_top1_push_random,Top-1,0.8779900775385817,0.9593109586134998,False,0.9835206988939665,False,False
ml-1m,slim-u,base,cfair_influencer_top5_push_random,Top-5,0.8724107612182699,0.7614036913601407,False,0.9517546142001759,False,False
ml-1m,slim-u,base,cfair_influencer_top10_push_random,Top-10,0.8725352041555774,0.8390297233771118,False,0.9627240130839279,False,False
ml-1m,svd,base,cfair_influencer_push_random,C-Fair Influencer,0.7846160385956549,0.5267948079568706,False,0.8152776789808712,False,False
ml-1m,svd,base,cfair_sampling_push_random,Sampling,0.7798079074649511,0.7435783345128248,False,0.9330616166666721,False,False
ml-1m,svd,base,cfair_influencer_top1_push_random,Top-1,0.7996243124573138,0.9995837541527752,False,0.9995837541527752,False,False
ml-1m,svd,base,cfair_influencer_top5_push_random,Top-5,0.7897247170691202,0.9943492680687744,False,0.9974182472912089,False,False
ml-1m,svd,base,cfair_influencer_top10_push_random,Top-10,0.799465624993448,0.98184404069789,False,0.9909916559838953,False,False
lastfm-1k,bnslim-u-gender,fair,cfair_influencer_push_random,C-Fair Influencer,0.8260367725054032,0.1207443120167728,False,0.4605645771310656,False,True
lastfm-1k,bnslim-u-gender,fair,cfair_sampling_push_random,Sampling,0.8318891946447807,9.52756317966876e-05,True,0.005160763388987245,True,True
lastfm-1k,bnslim-u-gender,fair,cfair_influencer_top1_push_random,Top-1,0.924718175950066,0.6680172375860693,False,0.8934386922447429,False,True
lastfm-1k,bnslim-u-gender,fair,cfair_influencer_top5_push_random,Top-5,0.8872727323400466,0.627977005409568,False,0.8748961954746085,False,True
lastfm-1k,bnslim-u-gender,fair,cfair_influencer_top10_push_random,Top-10,0.8548619590788993,0.3984335835117317,False,0.7963378268789199,False,True
lastfm-1k,ease-i,base,cfair_influencer_push_random,C-Fair Influencer,0.8905686414344547,0.022812597580612,True,0.23169044417809062,False,True
lastfm-1k,ease-i,base,cfair_sampling_push_random,Sampling,0.9108480725881132,0.0165596889684493,True,0.19932958943503787,False,True
lastfm-1k,ease-i,base,cfair_influencer_top1_push_random,Top-1,0.9925384381035828,0.5012643951890582,False,0.8014811799214844,False,True
lastfm-1k,ease-i,base,cfair_influencer_top5_push_random,Top-5,0.9475037045815164,0.0978593038892413,False,0.42468145335339247,False,True
lastfm-1k,ease-i,base,cfair_influencer_top10_push_random,Top-10,0.9005789952947406,0.0470967038276024,True,0.3061285748794156,False,True
lastfm-1k,ease-u,base,cfair_influencer_push_random,C-Fair Influencer,0.8694196543444933,0.0180666995510545,True,0.2097027626461683,False,True
lastfm-1k,ease-u,base,cfair_sampling_push_random,Sampling,0.8716626868854255,5.879831938072778e-05,True,0.0038218907597473055,True,True
lastfm-1k,ease-u,base,cfair_influencer_top1_push_random,Top-1,0.9647277935687048,0.4967024114421572,False,0.8014811799214844,False,True
lastfm-1k,ease-u,base,cfair_influencer_top5_push_random,Top-5,0.9299586081460416,0.3779494596239103,False,0.7823794546354831,False,True
lastfm-1k,ease-u,base,cfair_influencer_top10_push_random,Top-10,0.8979416870935863,0.0296864477436013,True,0.26075933828838976,False,True
lastfm-1k,mf,base,cfair_influencer_push_random,C-Fair Influencer,0.8448551899599743,0.0076014858266363,True,0.14532252315628222,False,True
lastfm-1k,mf,base,cfair_sampling_push_random,Sampling,0.931518677100721,0.0165129109293303,True,0.19932958943503787,False,True
lastfm-1k,mf,base,cfair_influencer_top1_push_random,Top-1,0.9490294480487952,0.2373710951086948,False,0.640753175552458,False,True
lastfm-1k,mf,base,cfair_influencer_top5_push_random,Top-5,0.9164648737238922,0.0970695294577748,False,0.42468145335339247,False,True
lastfm-1k,mf,base,cfair_influencer_top10_push_random,Top-10,0.899249517329014,0.133740651505837,False,0.49684561615856265,False,True
lastfm-1k,mf-absolute-gender,fair,cfair_influencer_push_random,C-Fair Influencer,0.8151255609972987,0.0736962530018896,False,0.3943011517382275,False,True
lastfm-1k,mf-absolute-gender,fair,cfair_sampling_push_random,Sampling,0.8828141706027278,0.0421323382821291,True,0.3061285748794156,False,True
lastfm-1k,mf-absolute-gender,fair,cfair_influencer_top1_push_random,Top-1,0.9845160000501938,0.7235276771119653,False,0.9185409963335497,False,True
lastfm-1k,mf-absolute-gender,fair,cfair_influencer_top5_push_random,Top-5,0.925226544735856,0.2705757692768484,False,0.671599486790086,False,True
lastfm-1k,mf-absolute-gender,fair,cfair_influencer_top10_push_random,Top-10,0.8805316496080349,0.2488705706781945,False,0.6522817376646227,False,True
lastfm-1k,mf-over-gender,fair,cfair_influencer_push_random,C-Fair Influencer,0.8417768626668262,0.0990816781147562,False,0.42468145335339247,False,False
lastfm-1k,mf-over-gender,fair,cfair_sampling_push_random,Sampling,0.9359685163108136,0.3183599274888266,False,0.7235452897473331,False,False
lastfm-1k,mf-over-gender,fair,cfair_influencer_top1_push_random,Top-1,0.9517467505641848,0.6142545297658464,False,0.8717586121131008,False,False
lastfm-1k,mf-over-gender,fair,cfair_influencer_top5_push_random,Top-5,0.9159591788768788,0.3769471393638697,False,0.7823794546354831,False,False
lastfm-1k,mf-over-gender,fair,cfair_influencer_top10_push_random,Top-10,0.9111839187044016,0.4478949143285458,False,0.8014811799214844,False,False
lastfm-1k,mf-under-gender,fair,cfair_influencer_push_random,C-Fair Influencer,0.802916234419221,0.0285494883541049,True,0.2607166447104971,False,True
lastfm-1k,mf-under-gender,fair,cfair_sampling_push_random,Sampling,0.8851915054673786,0.0720780049862555,False,0.3943011517382275,False,True
lastfm-1k,mf-under-gender,fair,cfair_influencer_top1_push_random,Top-1,0.9782407967901566,0.5082713251263892,False,0.8018843721654197,False,True
lastfm-1k,mf-under-gender,fair,cfair_influencer_top5_push_random,Top-5,0.9195319498870812,0.2756422338049217,False,0.6786645908075724,False,True
lastfm-1k,mf-under-gender,fair,cfair_influencer_top10_push_random,Top-10,0.8741314776094952,0.2060125152619624,False,0.6142574996342915,False,True
lastfm-1k,mf-value-gender,fair,cfair_influencer_push_random,C-Fair Influencer,0.7984763254530146,0.0252067717541727,True,0.24824850970018567,False,True
lastfm-1k,mf-value-gender,fair,cfair_sampling_push_random,Sampling,0.8756046249092192,0.0571900825548525,False,0.34419957093198267,False,True
lastfm-1k,mf-value-gender,fair,cfair_influencer_top1_push_random,Top-1,0.9701237285396882,0.6283376719642386,False,0.8748961954746085,False,True
lastfm-1k,mf-value-gender,fair,cfair_influencer_top5_push_random,Top-5,0.9114026906082052,0.3628377460016827,False,0.7802203420346734,False,True
lastfm-1k,mf-value-gender,fair,cfair_influencer_top10_push_random,Top-10,0.8776378861311082,0.0618711171372432,False,0.36306228894138876,False,True
lastfm-1k,neumf,base,cfair_influencer_push_random,C-Fair Influencer,1.0608560657118142,0.9691681266967012,False,0.987396994283473,False,False
lastfm-1k,neumf,base,cfair_sampling_push_random,Sampling,0.6851331037197003,0.6265485581173635,False,0.8748961954746085,False,False
lastfm-1k,neumf,base,cfair_influencer_top1_push_random,Top-1,0.8347003559092977,0.4263381036560515,False,0.8014811799214844,False,False
lastfm-1k,neumf,base,cfair_influencer_top5_push_random,Top-5,0.7641866288073366,0.8544226820057697,False,0.9627240130839279,False,False
lastfm-1k,neumf,base,cfair_influencer_top10_push_random,Top-10,1.0001706382137765,0.8810406070683214,False,0.9627240130839279,False,False
lastfm-1k,nmf,base,cfair_influencer_push_random,C-Fair Influencer,0.8798026072257797,0.2814514295892415,False,0.6826247359440559,False,False
lastfm-1k,nmf,base,cfair_sampling_push_random,Sampling,0.943303125360039,0.4469229916392318,False,0.8014811799214844,False,False
lastfm-1k,nmf,base,cfair_influencer_top1_push_random,Top-1,1.0357239797495454,0.8264110367922706,False,0.9627240130839279,False,False
lastfm-1k,nmf,base,cfair_influencer_top5_push_random,Top-5,0.9637677774665884,0.467141378340243,False,0.8014811799214844,False,False
lastfm-1k,nmf,base,cfair_influencer_top10_push_random,Top-10,0.8895879491507034,0.5432184047673524,False,0.824981222193409,False,False
lastfm-1k,slim-i,base,cfair_influencer_push_random,C-Fair Influencer,0.8876638543205877,0.4631054879520996,False,0.8014811799214844,False,True
lastfm-1k,slim-i,base,cfair_sampling_push_random,Sampling,0.8989076119574708,0.0131753725851976,True,0.19463618591769183,False,True
lastfm-1k,slim-i,base,cfair_influencer_top1_push_random,Top-1,0.9926667473919242,0.6985217300130107,False,0.9148276168137657,False,True
lastfm-1k,slim-i,base,cfair_influencer_top5_push_random,Top-5,0.9537331130231133,0.5166218182020397,False,0.8072215909406869,False,True
lastfm-1k,slim-i,base,cfair_influencer_top10_push_random,Top-10,0.9066658543827986,0.1136933502617473,False,0.4561304228186784,False,True
lastfm-1k,slim-u,base,cfair_influencer_push_random,C-Fair Influencer,0.8234689501422081,0.094252669285592,False,0.42468145335339247,False,True
lastfm-1k,slim-u,base,cfair_sampling_push_random,Sampling,0.8307987992661737,0.0003690180595507,True,0.0171329813362825,True,True
lastfm-1k,slim-u,base,cfair_influencer_top1_push_random,Top-1,0.9277725527202776,0.9498833835436802,False,0.9797737512884508,False,True
lastfm-1k,slim-u,base,cfair_influencer_top5_push_random,Top-5,0.8889512386805735,0.9308923755517386,False,0.9797737512884508,False,True
lastfm-1k,slim-u,base,cfair_influencer_top10_push_random,Top-10,0.8534149213616975,0.4932689312292103,False,0.8014811799214844,False,True
lastfm-1k,svd,base,cfair_influencer_push_random,C-Fair Influencer,0.9545087766837876,0.5202110487515083,False,0.8089406260489961,False,False
